Reconstruction Coord z;Map Coord z;Error z;;;;;
0,017931;0,435408;0,417478;;;;;
0,019545;0,436831;0,417286;;;;;
0,017459;0,434449;0,41699;;;;;
0,014878;0,431791;0,416913;;;;;
0,011776;0,428506;0,41673;;;;;
0,023874;0,440573;0,416699;;;;;
0,017308;0,433788;0,41648;;;;;
0,020445;0,436831;0,416386;;;;;
0,018965;0,435288;0,416324;;;;;
0,014901;0,431036;0,416135;;;;;
0,023862;0,439498;0,415636;;;;;
0,025277;0,440745;0,415467;;;;;
0,017806;0,432218;0,414412;;;;;
0,002234;0,416639;0,414405;;;;;
0,017749;0,432133;0,414384;;;;;
0,02959;0,443866;0,414276;;;;;
0,049356;0,46363;0,414274;;;;;
0,037731;0,451648;0,413916;;;;;
0,037731;0,451648;0,413916;;;;;
0,017481;0,431346;0,413864;;;;;
0,016829;0,430614;0,413785;;;;;
0,034316;0,448019;0,413703;;;;;
0,034316;0,448019;0,413703;;;;;
0,021594;0,435288;0,413694;;;;;
0,017098;0,430503;0,413405;;;;;
0,034014;0,447255;0,413241;;;;;
0,016332;0,428664;0,412332;;;;;
0,032981;0,44527;0,412289;;;;;
0,033706;0,445854;0,412148;;;;;
0,010133;0,422174;0,412042;;;;;
0,01489;0,426791;0,411901;;;;;
0,009908;0,421385;0,411477;;;;;
0,030401;0,441674;0,411272;;;;;
0,01799;0,429132;0,411142;;;;;
0,033496;0,444103;0,410607;;;;;
0,011378;0,421531;0,410153;;;;;
0,026159;0,436276;0,410117;;;;;
0,026159;0,436276;0,410117;;;;;
0,03388;0,443984;0,410104;;;;;
0,020954;0,431028;0,410074;;;;;
0,020954;0,431028;0,410074;;;;;
0,033923;0,443984;0,410061;;;;;
0,032839;0,442625;0,409786;;;;;
0,018283;0,428046;0,409763;;;;;
0,034147;0,443301;0,409154;;;;;
0,032592;0,441641;0,409049;;;;;
0,001857;0,410334;0,408477;;;;;
0,030233;0,438647;0,408414;;;;;
0,031605;0,439711;0,408106;;;;;
0,031806;0,439636;0,40783;;;;;
0,033508;0,441138;0,40763;;;;;
